cUid,eUid,lpos,bpos
1414981,1-1008787,40.00,35
1257380,1-1008787,40.00,65
1309920,1-1008787,60.00,50
1454889,1-1008787,80.00,50
714525,1-1008698,5.00,50
1427216,1-1008698,20.00,15
1372514,1-1008698,20.00,85
1257373,1-1008698,20.00,40
714677,1-1008698,20.00,60
1429481,1-1008698,60.00,15
1445358,1-1008698,60.00,85
1257380,1-1008698,40.00,35
1414981,1-1008698,40.00,65
714678,1-1008698,60.00,50
1006533,1-1008698,80.00,50
714525,1-1008753,5.00,50
1427216,1-1008753,20.00,15
1372514,1-1008753,20.00,85
714677,1-1008753,20.00,40
1257373,1-1008753,20.00,60
1429481,1-1008753,60.00,15
1414979,1-1008753,60.00,85
1257380,1-1008753,40.00,35
1414981,1-1008753,40.00,65
714680,1-1008753,60.00,50
1445358,1-1008753,80.00,50
714525,1-1008764,5.00,50
714677,1-1008764,20.00,15
1372514,1-1008764,20.00,85
1257376,1-1008764,20.00,40
1257373,1-1008764,20.00,60
714678,1-1008764,60.00,15
714527,1-1008764,60.00,85
1429481,1-1008764,40.00,35
714680,1-1008764,40.00,65
1445358,1-1008764,60.00,50
1006533,1-1008764,80.00,50
714525,1-1008742,5.00,50
1427216,1-1008742,20.00,15
1372514,1-1008742,20.00,85
714677,1-1008742,20.00,40
1257373,1-1008742,20.00,60
1429481,1-1008742,60.00,15
714676,1-1008742,60.00,85
1257380,1-1008742,40.00,35
1414981,1-1008742,40.00,65
714680,1-1008742,60.00,50
1445358,1-1008742,80.00,50
714525,1-1008731,5.00,50
1427216,1-1008731,20.00,15
1372514,1-1008731,20.00,85
1257373,1-1008731,20.00,40
714677,1-1008731,20.00,60
1429481,1-1008731,60.00,15
714676,1-1008731,60.00,85
1414981,1-1008731,40.00,35
1257380,1-1008731,40.00,65
714678,1-1008731,60.00,50
1006533,1-1008731,80.00,50
714525,1-1008669,5.00,50
1427216,1-1008669,20.00,15
1372514,1-1008669,20.00,85
714677,1-1008669,20.00,40
714676,1-1008669,20.00,60
1429481,1-1008669,60.00,15
1257373,1-1008669,60.00,85
1257380,1-1008669,40.00,35
1414981,1-1008669,40.00,65
714680,1-1008669,60.00,50
1445358,1-1008669,80.00,50
714525,1-1008706,5.00,50
1427216,1-1008706,20.00,15
1372514,1-1008706,20.00,85
1257373,1-1008706,20.00,40
714677,1-1008706,20.00,60
1429481,1-1008706,60.00,15
714676,1-1008706,60.00,85
1257380,1-1008706,40.00,35
1414981,1-1008706,40.00,65
714525,1-1008722,5.00,50
1427216,1-1008722,20.00,15
1372514,1-1008722,20.00,85
1257373,1-1008722,20.00,40
714677,1-1008722,20.00,60
1429481,1-1008722,60.00,15
714676,1-1008722,60.00,85
1414981,1-1008722,40.00,35
1257380,1-1008722,40.00,65
714680,1-1008722,60.00,50
1006533,1-1008722,80.00,50
714525,1-1008646,5.00,50
1309920,1-1008646,20.00,15
1372514,1-1008646,20.00,85
1257373,1-1008646,20.00,40
714677,1-1008646,20.00,60
1429481,1-1008646,60.00,15
714676,1-1008646,60.00,85
1414981,1-1008646,40.00,35
1257380,1-1008646,40.00,65
714680,1-1008646,60.00,50
1006533,1-1008646,80.00,50
714680,1-1008706,60.00,50
1006533,1-1008706,80.00,50
714525,1-1008682,5.00,50
1427216,1-1008682,20.00,15
1372514,1-1008682,20.00,85
1429481,1-1008682,80.00,25
1257373,1-1008682,20.00,62.5
714677,1-1008682,20.00,37.5
1257380,1-1008682,50.00,25
714680,1-1008682,50.00,50
714676,1-1008682,80.00,75
1414981,1-1008682,50.00,75
1006533,1-1008682,80.00,50
714525,1-1008597,5.00,50
1427216,1-1008597,20.00,15
1372514,1-1008597,20.00,85
1257380,1-1008597,60.00,50
714677,1-1008597,20.00,62.5
1257373,1-1008597,20.00,37.5
714676,1-1008597,50.00,27.5
714527,1-1008597,40.00,50
1309920,1-1008597,75.00,65
1414981,1-1008597,50.00,72.5
1414985,1-1008597,75.00,40
714525,1-1008658,5.00,50
1427216,1-1008658,20.00,15
1372514,1-1008658,20.00,85
1257373,1-1008658,20.00,40
714677,1-1008658,20.00,60
1429481,1-1008658,60.00,15
714676,1-1008658,60.00,85
714527,1-1008658,40.00,35
1414981,1-1008658,40.00,65
714680,1-1008658,60.00,50
1414985,1-1008658,80.00,50
714525,1-1008622,5.00,50
1309920,1-1008622,20.00,15
1372514,1-1008622,20.00,85
1414981,1-1008622,60.00,50
1257376,1-1008622,20.00,62.5
714677,1-1008622,20.00,37.5
714678,1-1008622,50.00,27.5
714527,1-1008622,40.00,50
1414985,1-1008622,75.00,65
714680,1-1008622,50.00,72.5
714676,1-1008622,75.00,40
,1-1008515,5.00,50
1309920,1-1008515,20.00,15
1372514,1-1008515,20.00,85
714676,1-1008515,80.00,25
1257373,1-1008515,20.00,62.5
714677,1-1008515,20.00,37.5
714678,1-1008515,50.00,25
1414981,1-1008515,50.00,50
714680,1-1008515,80.00,75
1257380,1-1008515,50.00,75
1414985,1-1008515,80.00,50
,1-1008612,5.00,50
1309920,1-1008612,20.00,15
1372514,1-1008612,20.00,85
714676,1-1008612,80.00,25
1257373,1-1008612,20.00,62.5
714677,1-1008612,20.00,37.5
1414981,1-1008612,50.00,25
1257380,1-1008612,50.00,50
714680,1-1008612,80.00,75
714678,1-1008612,50.00,75
1414985,1-1008612,80.00,50
714525,0-2740417,5.00,50
1309920,0-2740417,20.00,15
1372514,0-2740417,20.00,85
714676,0-2740417,80.00,25
1257373,0-2740417,20.00,62.5
714677,0-2740417,20.00,37.5
1257380,0-2740417,50.00,25
1382641,0-2740417,50.00,50
1414979,0-2740417,80.00,75
714680,0-2740417,50.00,75
1324096,0-2740417,80.00,50
1405975,2-22210,5.00,50
1309920,2-22210,20.00,15
1372514,2-22210,20.00,85
1257382,2-22210,80.00,25
1257373,2-22210,20.00,62.5
714677,2-22210,20.00,37.5
714678,2-22210,50.00,25
1257380,2-22210,50.00,50
714676,2-22210,80.00,75
714680,2-22210,50.00,75
1372515,2-22210,80.00,50
,1-1008573,5.00,50
1309920,1-1008573,20.00,15
1372514,1-1008573,20.00,85
1372515,1-1008573,80.00,25
1257373,1-1008573,20.00,62.5
714677,1-1008573,20.00,37.5
714678,1-1008573,50.00,25
1257380,1-1008573,50.00,50
714676,1-1008573,80.00,75
714680,1-1008573,50.00,75
1324096,1-1008573,80.00,50
,1-1008549,5.00,50
1309920,1-1008549,20.00,15
1372514,1-1008549,20.00,85
714676,1-1008549,80.00,25
1257373,1-1008549,20.00,62.5
714677,1-1008549,20.00,37.5
714680,1-1008549,50.00,25
1257380,1-1008549,50.00,50
1324096,1-1008549,80.00,75
714678,1-1008549,50.00,75
1372515,1-1008549,80.00,50
714525,1-1008474,5.00,50
1257376,1-1008474,20.00,15
714678,1-1008474,20.00,85
714527,1-1008474,80.00,25
714668,1-1008474,20.00,62.5
714677,1-1008474,20.00,37.5
714680,1-1008474,50.00,25
1257380,1-1008474,50.00,50
1257382,1-1008474,80.00,75
1309920,1-1008474,50.00,75
1324096,1-1008474,80.00,50
1288936,1-1008427,5.00,50
1257376,1-1008427,20.00,15
714668,1-1008427,20.00,85
1257380,1-1008427,50.00,62.5
714677,1-1008427,20.00,62.5
1257373,1-1008427,20.00,37.5
714680,1-1008427,50.00,15
1309920,1-1008427,50.00,37.5
1324096,1-1008427,75.00,62.5
1310037,1-1008427,75.00,37.5
1309919,1-1008427,50.00,85
714525,1-1008406,5.00,50
1257376,1-1008406,20.00,15
1309919,1-1008406,20.00,85
714676,1-1008406,80.00,25
714677,1-1008406,20.00,62.5
1257373,1-1008406,20.00,37.5
1309920,1-1008406,50.00,25
1257380,1-1008406,50.00,50
1257382,1-1008406,80.00,75
714680,1-1008406,50.00,75
1309918,1-1008406,80.00,50
714525,1-1008395,5.00,50
1257376,1-1008395,20.00,15
1309919,1-1008395,20.00,85
714527,1-1008395,80.00,25
714677,1-1008395,20.00,62.5
1257373,1-1008395,20.00,37.5
1257380,1-1008395,50.00,25
714680,1-1008395,50.00,50
1257382,1-1008395,80.00,75
714676,1-1008395,50.00,75
1309918,1-1008395,80.00,50
714525,1-1008358,5.00,50
1257376,1-1008358,20.00,15
1309919,1-1008358,20.00,85
913621,1-1008358,80.00,25
714677,1-1008358,20.00,62.5
1257373,1-1008358,20.00,37.5
1257380,1-1008358,50.00,25
714678,1-1008358,50.00,50
1309918,1-1008358,80.00,75
714527,1-1008358,50.00,75
714676,1-1008358,80.00,50
714525,1-795202,5.00,50
,1-795202,20.00,15
,1-795202,20.00,85
,1-795202,50.00,62.5
,1-795202,20.00,62.5
,1-795202,20.00,37.5
,1-795202,50.00,15
,1-795202,50.00,37.5
,1-795202,75.00,62.5
,1-795202,75.00,37.5
,1-795202,50.00,85
